datelementid,uid,name,formname,valuetype,categorycomboid,uid,name,categoryoptioncomboid,uid,name,HMIS-CODE,HMIS-NAME,UPHMIS-DHIS2-NAME
32184,fqM6fGLUqVD,Level of delivery point,,TEXT,14,EnzwsuaCxmy,default,,,,v02,Delivery point (Yes/No),Delivery point
32187,dH57At01u6e,Building type,,TEXT,14,EnzwsuaCxmy,default,,,,v03,"If Yes, Level of Delievery Point(Please enter anyone of the following 1, 2, 3)",Level of delivery point
9083,QNm9lJKlPMd,Beds available in facility,,INTEGER,14,EnzwsuaCxmy,default,,,,v04,Building Type,Building type
32185,FIaGENXR3c5,Delivery point,,BOOLEAN,14,EnzwsuaCxmy,default,,,,v01,Bed Available,Bed Available
807,qYpFbVo8WsL,ANC registration,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v1,Total number of pregnant women registered for ANC ,ANC registration_
808,JY4UIeCYK00,ANC registration within 1st trimester,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v2,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",ANC registration within 1st trimester_
811,qX6e1bvkCSg,ANC TT1 dose,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v3,Number of PW given TT1,ANC TT1 dose_
812,etpp3QzDqIp,ANC TT2,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v4,Number of PW given TT2 ,ANC TT2_
7148451,DWwQJhv5XdZ,PW given TT booster,Number of PW givenÂ TT Booster,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v5,Number of PW given TT Booster,PW given TT booster_
813,Seg3NZfY93d,Pregnant women given 180 IFA tablets,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v6,Number of PW given 180 Iron Folic Acid (IFA) tablets ,Pregnant women given 180 IFA tablets_
1630880,hOrwy47o7mE,PW given 360 Calcium carbonate with D3 tablet,Pregnant women given 36 Calcium carbonate with D3 tablet,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v7,Number of PW given 360 Calcium tablets ,PW given 360 Calcium carbonate with D3 tablet_
7148870,eG5OsZ4Nez1,PW given 1 Albendazole tablet (after 1st  trimester),Number of PW given one Albendazole tablet after 1st  trimester,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v8,Number of PW given one Albendazole tablet during the 2nd trimester,PW given 1 ABZ tablet(after 1st trimester)_
810,ZpgnTGpSkeg,4 ANC checkups,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v9,Number of PW received 4 or more ANC check ups,4 ANC checkups_
1632855,mVnSrqAN8I6,Of which received corticosteroid before 34 week of delivery,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v10,Number of PW given ANC Corticosteroids in Pre Term Labour,Of which received corticosteroid before 34 week of delivery_
814,OVGFcjdSMO0,New Cases of pregnant women with hypertension,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v11,New cases of PW with hypertension detected ,New Cases of pregnant women with hypertension_
7149089,r4heiTV2ATg,New hypertension cases managed at institution(PW),"Out of the new cases of PW with hypertension detected, cases managed at institution",INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v12,"Out of the new cases of PW with hypertension detected, cases managed at institution ",New hypertension cases managed at institution(PW)_
897,HE7TawIgkCF,Eclampsia cases managed during delivery,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v13,Number of Eclampsia cases managed during delivery,Eclampsia cases managed during delivery_
7149151,ui45G8KwpzU,PW tested for Hb(4 or >4 times in ANCs),Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v14,Number of PW tested for Haemoglobin (Hb ),PW tested for Hb(4 or >4 times in ANCs)_
815,Bz91VdTeQHm,Pregnant women having Hb level<11 (tested cases),,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v15,Number of PW having Hb level<11 (tested cases),Pregnant women having Hb level<11 (tested cases)_
896,VGmj8dWOIBw,Hb < 7 mg,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v16,Number of PW having Hb level<7 (tested cases),Hb < 7 mg_
816,n5bZeD7f63Q,Pregnant women having severe anaemia (Hb<7) treated,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v17,Number of PW having severe anaemia (Hb<7) treated,Pregnant women having severe anaemia (Hb<7) treated_
7150694,CubBfDrtuYP,PW tested by OGTT for blood sugar,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v18,Number of PW tested for Blood Sugar,PW tested by OGTT for blood sugar_
7268918,brBxsfgPatJ,PW tested positive for GDM,Number of PW tested positive for GDM,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v19,Number of PW tested positive for GDM,PW tested positive for GDM_
7150793,TWhGO1gnDN1,Insulin given to GDM (+ves),Number of PW given insulin out of total tested positive for GDM,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v20,Number of PW given insulin out of total tested positive for GDM,Insulin given to GDM (+ves)_
7150873,KQdyl96jkJj,PW tested by POC for syphilis,Number of PW tested using POC test for Syphilis,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v21,Number of PW tested using POC test for Syphilis,PW tested by POC for syphilis_
7152694,kNXdBWNyt18,PW found Seropositive for syphilis(POC),"Out of above, number of PW found sero positive for syphilis",INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v22,Number of PW tested positive using POC test for Syphilis,PW found Seropositive for syphilis(POC)_
7152869,U7edhKWSPfA,PW tested for syphilis,Number of pregnant women tested  for Syphilis,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v23,Number of pregnant women tested  for Syphilis  ,PW tested for syphilis_
7152694,kNXdBWNyt18,PW found Seropositive for syphilis(POC),"Out of above, number of PW found sero positive for syphilis",INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v24,Number of pregnant women tested found sero positive for Syphilis ,PW found Seropositive for syphilis(POC)_
7153044,Z770E0DYMYG,PW with syphilis +ve treated,Number of syphilis positive pregnant women treated for Syphilis,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v25,Number of syphilis positive pregnant women treated for Syphilis,PW with syphilis +ve treated_
7153123,C6kKvMPu92T,NB diagnosed with congenital syphilis,Number of babies diagnosed with  Congenital Syphilis,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v26,Number of babies diagnosed with  Congenital Syphilis,NB diagnosed with congenital syphilis_
7153176,r1gt8fEasa1,NB treated for congenital syphilis,Number of babies treated for congenital Syphilis,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v27,Number of babies treated for congenital Syphilis,NB treated for congenital syphilis_
817,HOrR1amEU6x,Home Deliveries,,INTEGER,790,gzmD2GETNOx,Home deliveries,791,WVDe9q7ihBV,Attended by SBA trained (Doctor/Nurse/ANM), v28,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM) ,Home Deliveries_Attended by SBA trained (Doctor/Nurse/ANM)
817,HOrR1amEU6x,Home Deliveries,,INTEGER,790,gzmD2GETNOx,Home deliveries,792,YOjJNrvr2j2,Attended by Non SBA (Trained TBA/Relatives/etc), v29,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),Home Deliveries_Attended by Non SBA (Trained TBA/Relatives/etc)
7153210,fEvPhtVkNih,PW given misoprost(home delivery),Number of PW given Tablet Misoprostol during home delivery,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v30,Number of PW given Tablet Misoprostol during home delivery,PW given misoprost(home delivery)_
7153286,dBjHW8OZJo8,NB received 7 HBNC,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v31,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,NB received 7 HBNC_
820,aRueVYr35yM,Institutional delivery(including c-section),Institutional delivery(including c-section),INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v32,Number of Institutional Deliveries conducted (Including C-Sections),Institutional delivery(including c-section)_
822,Nsll4RxgNlo,Women discharged under 48 hours of delivery,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v33,Out of total institutional deliveries number of women discharged within 48 hours of delivery,Women discharged under 48 hours of delivery_
7153310,lf5fsWhrqEv,NB received 6 HBNC after institutional delivery,Number of newborns received 6 HBNCÂ  visits after Institutional Delivery,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v34,Number of newborns received 6 HBNC  visits after Institutional Delivery,NB received 6 HBNC after institutional delivery_
821,HIMRPikytRR,Cesarean deliveries,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v35,Total C -Section deliveries performed,Cesarean deliveries_
7153317,mEAP4AlkgEc,C-sections at night(8pm-8am),"C-sections, performed at night (8 PM- 8 AM)",INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v36,"C-sections, performed at night (8 PM- 8 AM)",C-sections at night(8pm-8am)_
826,aknlXIekL1Z,Live births,,INTEGER,776,vrzO8JErw4W,Gender,777,iRNhRMvoSCx,Male, v37,Live Birth - Male,Live births_Male
826,aknlXIekL1Z,Live births,,INTEGER,776,vrzO8JErw4W,Gender,778,wb51FJHqHxp,Female, v38,Live Birth - Female,Live births_Female
7153378,HZ2jTqwQD6v,Preterm new borns(<37 wks),Number of Pre term newborns ( < 37 weeks of pregnancy),INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v39,Number of Pre term newborns ( < 37 weeks of pregnancy),Preterm new borns(<37 wks)_
827,mexWK5BLs5H,Still births,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v40,Still Birth,Still births_
828,HRBAu4bW8fJ,Abortions (spontaneous/induced),,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v41,Abortion (spontaneous),Abortions (spontaneous/induced)_
901,ZfLDB6LbmXv,MTPs conducted (<12 weeks of pregnancy),,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v42,MTP up to 12 weeks of pregnancy,MTPs conducted (<12 weeks of pregnancy)_
902,ks9cu7ylkTq,MTPs conducted (>12 weeks of pregnancy,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v43,MTP more than 12 weeks of pregnancy,MTPs conducted (>12 weeks of pregnancy_
7153628,C4t7TJIXg6o,MTP complications identified,Post Abortion/ MTP Complications Identified,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v44,Post Abortion/ MTP Complications Identified,MTP complications identified_
7153812,vIFBSQfniSp,MTP complications treated,Post Abortion/ MTP Complications Treated,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v45,Post Abortion/ MTP Complications Treated,MTP complications treated_
7154037,z4trb0XZSJ5,Contraception provided(MTP/post abortion),Number of women provided with post abortion/ MTP contraception,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v46,Number of women provided with post abortion/ MTP contraception ,Contraception provided(MTP/post abortion)_
829,qyhm2Egx86Z,Newborns weighed at birth,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v47,Number of newborns weighed at birth,Newborns weighed at birth_
830,z7g5PpytzLV,Newborns having weight less than 2.5 kg,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v48,Number of newborns having weight less than 2.5 kg,Newborns having weight less than 2.5 kg_
831,VBqOqVKNQCr,Newborns breast fed within 1 hour of birth,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v49,Number of Newborns breast fed within 1 hour of birth ,Newborns breast fed within 1 hour of birth_
898,ExMplulIRYb,Pregnant women with obstetric complications attended,,INTEGER,14,EnzwsuaCxmy,default,15,Ti9FJqkSK6J,default, v50,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others) ",Pregnant women with obstetric complications attended_
